name,highway,maxspeed,travel_time,lanes_cleaned,capacity_vph
Ammerseestraße,residential,30,26.51134696353177,1,1800
Olchinger Straße,secondary,50,7.7492635871661335,4,7200
Freyastraße,tertiary,50,1.8271934689896963,1,1800
Olchinger Straße,secondary,50,2.431777878651211,4,7200
Gröbenhüterstraße,residential,30,14.887896418962388,1,1800
Olchinger Straße,secondary,50,7.758928628524876,2,3600
Olchinger Straße,secondary,50,12.464927494669855,2,3600
Olchinger Straße,secondary,50,2.6302863834518964,2,3600
Liegnitzer Straße,residential,30,15.86247618346527,1,1800
Lena-Christ-Straße,tertiary,50,4.640769029182721,2,3600
Olchinger Straße,secondary,50,30.166139484423287,3,5400
Pirolstraße,unclassified,30,22.26937202950164,1,1800
Lochhausener Straße,secondary,50,18.775617668564127,2,3600
Lochhausener Straße,secondary,50,26.15956268090796,2,3600
Sumpfmeisenweg,secondary,50,3.194117079341075,2,3600
Sumpfmeisenweg,secondary,30,3.0204429432288733,1,1800
Kleiberweg,secondary,30,34.683084728299676,1,1800
Mettnauer Straße,residential,30,25.007310832599977,1,1800
Sumpfmeisenweg,secondary,30,3.0204429432288733,1,1800
Vestastraße,secondary,30,38.4531390602272,1,1800
"['Kleiberweg', 'Henschelstraße']",secondary,30,32.16934366302249,2,3600
Margot-Hielscher-Straße,residential,,15.972100328827533,1,1800
Altostraße,secondary,50,14.573945626685154,1,1800
Schrimpfstraße,residential,30,12.835708602924042,1,1800
Henschelstraße,secondary,30,37.63920654685678,2,3600
Altostraße,secondary,50,6.197262762173221,2,3600
Altostraße,secondary,50,9.876262016080709,2,3600
Teufelsbergstraße,residential,"['30', '50']",39.60270428008823,1,1800
Hoflacher Straße,residential,30,20.07161242533411,1,1800
Altostraße,secondary,50,15.289792431794668,2,3600
Altostraße,secondary,50,6.965924945561606,2,3600
"['Gilchinger Straße', 'Wildenrother Straße']",residential,30,53.77587615863894,1,1800
Altostraße,secondary,"['30', '50']",23.492070662581988,2,3600
Altostraße,secondary,50,15.28979243179467,2,3600
Am Langwieder Bach,residential,30,3.092429085163837,1,1800
Altostraße,secondary,"['30', '50']",10.57104904216382,2,3600
Altostraße,secondary,30,2.835176137208941,2,3600
Altostraße,secondary,30,8.445624107607369,1,1800
Altostraße,secondary,"['30', '50']",10.57104904216382,2,3600
Rassogasse,residential,30,13.856353180636638,1,1800
Rassogasse,residential,30,9.287871013090628,1,1800
Marzellgasse,residential,30,4.033921111493155,1,1800
Altostraße,secondary,50,2.5211245149858645,2,3600
Altostraße,secondary,30,8.445624107607369,1,1800
Schwemmstraße,residential,30,6.43073488207215,1,1800
Bergsonstraße,tertiary,50,7.458472149813998,1,1800
Marzellgasse,residential,30,2.7572289250010633,1,1800
Altostraße,secondary,50,9.509486657749266,1,1800
Altostraße,secondary,50,2.521124514985864,2,3600
Ubostraße,tertiary,30,26.474792852018624,2,3600
Altostraße,secondary,50,6.3754124878595135,1,1800
Altostraße,secondary,50,2.232970464501807,2,3600
Altostraße,secondary,30,4.154722129886481,2,3600
Altostraße,secondary,30,2.188054841059117,2,3600
Georg-Böhmer-Straße,residential,30,3.833473231266108,1,1800
Joseph-Suder-Bogen,residential,30,15.658212015702471,1,1800
Elisabeth-Jost-Straße,residential,30,14.001245069919854,1,1800
Aubing-Ost-Straße,residential,30,25.25906522498019,1,1800
Aubing-Ost-Straße,residential,30,25.304401732043342,1,1800
Joseph-Suder-Bogen,residential,30,3.999919329962465,1,1800
Nico-Dostal-Weg,residential,30,3.953276918168226,1,1800
Joseph-Suder-Bogen,residential,30,15.658212015702471,1,1800
Feuerhausstraße,residential,30,12.750116744299971,1,1800
Ubostraße,tertiary,30,26.47479285201862,2,3600
Ubostraße,tertiary,30,4.6013214403936695,1,1800
Ubostraße,tertiary,30,2.9723117063181963,1,1800
